,Buy and Hold,Strategy,Longs,Sells,Shorts,Covers,Stdev_Strategy,Stdev_Hold,Stock
2732,133.98,-9.21,15,15,14,14,143.95356095281292,1796.68400340847,AAPL_215-110
2733,133.98,-10.97,24,24,23,23,182.40637363726503,1796.68400340847,AAPL_230-210
2734,133.98,-24.1,51,51,45,45,401.3941129667244,1796.68400340847,AAPL_205-200
2735,133.98,-7.55,28,28,26,26,135.46732773095772,1796.68400340847,AAPL_225-10
2736,133.98,-4.79,17,17,16,16,102.87979636597656,1796.68400340847,AAPL_190-90
2737,133.98,-18.49,51,51,48,48,280.27017298175883,1796.68400340847,AAPL_165-160
2738,133.98,0.31,12,12,13,13,43.525437704517856,1796.68400340847,AAPL_155-260
2739,133.98,-9.55,28,28,28,28,129.5608002731109,1796.68400340847,AAPL_140-160
2740,133.98,-5.62,11,11,12,12,80.62415223441184,1796.68400340847,AAPL_180-280
2741,133.98,-7.53,18,18,17,17,138.26143915216363,1796.68400340847,AAPL_175-70
