,SLOWFAST,Buy and Hold,Strategy,SLOW,FAST
409,55-45,73.175,72.605,55,45
410,55-46,73.175,72.0975,55,46
411,55-47,73.175,71.7825,55,47
412,55-48,73.175,71.65125,55,48
413,55-49,73.175,71.07,55,49
414,55-5,73.175,63.805,55,5
415,55-50,73.175,72.78875,55,50
416,55-51,73.175,73.505,55,51
417,55-52,73.175,74.0,55,52
418,55-53,73.175,73.3975,55,53
419,55-54,73.175,73.44375,55,54
420,55-55,73.175,0.0,55,55
421,55-56,73.175,-0.5650000000000001,55,56
422,55-57,73.175,0.13000000000000023,55,57
423,55-58,73.175,0.09625000000000028,55,58
424,55-59,73.175,0.47124999999999984,55,59
425,55-6,73.175,61.3675,55,6
426,55-60,73.175,0.6125000000000002,55,60
427,55-61,73.175,1.11625,55,61
428,55-62,73.175,1.0925000000000002,55,62
429,55-63,73.175,0.16749999999999987,55,63
430,55-64,73.175,0.17374999999999996,55,64
431,55-65,73.175,0.1837500000000002,55,65
432,55-66,73.175,-0.0025000000000000577,55,66
433,55-67,73.175,-0.12499999999999967,55,67
434,55-68,73.175,-0.1287499999999998,55,68
435,55-69,73.175,0.23749999999999993,55,69
436,55-7,73.175,60.518750000000004,55,7
437,55-70,73.175,0.0837500000000001,55,70
438,55-71,73.175,0.23250000000000026,55,71
439,55-72,73.175,0.49250000000000027,55,72
440,55-73,73.175,0.5637500000000003,55,73
441,55-74,73.175,0.5000000000000003,55,74
442,55-8,73.175,64.03875,55,8
443,55-9,73.175,66.1675,55,9
444,56-1,73.175,53.6725,56,1
445,56-10,73.175,68.21,56,10
446,56-11,73.175,65.88375,56,11
447,56-12,73.175,66.48625,56,12
448,56-13,73.175,68.53625,56,13
449,56-14,73.175,71.49625,56,14
450,56-15,73.175,69.035,56,15
451,56-16,73.175,71.1725,56,16
452,56-17,73.175,74.4575,56,17
453,56-18,73.175,74.265,56,18
454,56-19,73.175,74.32875,56,19
455,56-2,73.175,55.14,56,2
456,56-20,73.175,72.5825,56,20
457,56-21,73.175,72.8375,56,21
458,56-22,73.175,74.735,56,22
459,56-23,73.175,74.47,56,23
460,56-24,73.175,72.64,56,24
461,56-25,73.175,71.1075,56,25
462,56-26,73.175,70.64,56,26
463,56-27,73.175,70.37,56,27
464,56-28,73.175,68.99875,56,28
465,56-29,73.175,70.0025,56,29
466,56-3,73.175,56.0225,56,3
467,56-30,73.175,72.565,56,30
468,56-31,73.175,72.31875,56,31
469,56-32,73.175,73.75,56,32
470,56-33,73.175,71.155,56,33
471,56-34,73.175,72.65375,56,34
472,56-35,73.175,77.615,56,35
473,56-36,73.175,80.36,56,36
474,56-37,73.175,80.83,56,37
475,56-38,73.175,77.0275,56,38
476,56-39,73.175,76.53125,56,39
477,56-4,73.175,63.07375,56,4
478,56-40,73.175,78.41125,56,40
479,56-41,73.175,75.02374999999999,56,41
480,56-42,73.175,74.28625,56,42
481,56-43,73.175,73.88125,56,43
482,56-44,73.175,72.59,56,44
483,56-45,73.175,72.47125,56,45
484,56-46,73.175,71.7825,56,46
485,56-47,73.175,71.65125,56,47
486,56-48,73.175,71.1375,56,48
487,56-49,73.175,72.78875,56,49
488,56-5,73.175,63.2025,56,5
489,56-50,73.175,73.4175,56,50
490,56-51,73.175,74.0,56,51
491,56-52,73.175,73.4525,56,52
492,56-53,73.175,73.44375,56,53
493,56-54,73.175,73.30375,56,54
494,56-55,73.175,73.22125,56,55
495,56-56,73.175,0.0,56,56
496,56-57,73.175,0.09625000000000028,56,57
497,56-58,73.175,0.47124999999999984,56,58
498,56-59,73.175,0.6125000000000002,56,59
499,56-6,73.175,61.03125,56,6
500,56-60,73.175,1.11625,56,60
501,56-61,73.175,1.0925000000000002,56,61
502,56-62,73.175,0.16749999999999987,56,62
503,56-63,73.175,0.22875000000000012,56,63
504,56-64,73.175,0.02375000000000005,56,64
505,56-65,73.175,-0.0025000000000000577,56,65
506,56-66,73.175,-0.24499999999999977,56,66
507,56-67,73.175,-0.2537499999999998,56,67
508,56-68,73.175,0.18125000000000002,56,68
509,56-69,73.175,0.06499999999999984,56,69
510,56-7,73.175,64.0725,56,7
511,56-70,73.175,0.31625000000000025,56,70
512,56-71,73.175,0.49250000000000027,56,71
513,56-72,73.175,0.7212500000000003,56,72
514,56-73,73.175,0.4375000000000001,56,73
515,56-74,73.175,0.3587499999999998,56,74
516,56-8,73.175,63.9,56,8
517,56-9,73.175,67.645,56,9
518,57-1,73.175,54.22125,57,1
519,57-10,73.175,66.51125,57,10
520,57-11,73.175,66.4875,57,11
521,57-12,73.175,68.0625,57,12
522,57-13,73.175,70.55375000000001,57,13
523,57-14,73.175,71.89625000000001,57,14
524,57-15,73.175,66.72,57,15
525,57-16,73.175,74.2775,57,16
526,57-17,73.175,72.58125,57,17
527,57-18,73.175,74.27875,57,18
528,57-19,73.175,73.455,57,19
529,57-2,73.175,55.58125,57,2
530,57-20,73.175,71.61625000000001,57,20
531,57-21,73.175,74.84875,57,21
532,57-22,73.175,73.42,57,22
533,57-23,73.175,71.5825,57,23
534,57-24,73.175,70.9525,57,24
535,57-25,73.175,70.77875,57,25
536,57-26,73.175,71.09125,57,26
537,57-27,73.175,69.48,57,27
538,57-28,73.175,70.6125,57,28
539,57-29,73.175,72.41375000000001,57,29
540,57-3,73.175,56.84375,57,3
541,57-30,73.175,70.91875,57,30
542,57-31,73.175,72.4775,57,31
543,57-32,73.175,73.41625,57,32
544,57-33,73.175,71.36625000000001,57,33
545,57-34,73.175,76.57,57,34
546,57-35,73.175,80.5825,57,35
547,57-36,73.175,81.1875,57,36
548,57-37,73.175,81.60125000000001,57,37
549,57-38,73.175,76.53875,57,38
550,57-39,73.175,77.53875000000001,57,39
551,57-4,73.175,62.4425,57,4
552,57-40,73.175,75.38,57,40
553,57-41,73.175,74.07375,57,41
554,57-42,73.175,74.085,57,42
555,57-43,73.175,72.8975,57,43
556,57-44,73.175,72.115,57,44
557,57-45,73.175,71.7825,57,45
558,57-46,73.175,71.60249999999999,57,46
559,57-47,73.175,71.32,57,47
560,57-48,73.175,72.46124999999999,57,48
561,57-49,73.175,73.46,57,49
562,57-5,73.175,64.03625,57,5
563,57-50,73.175,74.1425,57,50
564,57-51,73.175,73.42375,57,51
565,57-52,73.175,73.3425,57,52
566,57-53,73.175,73.30375,57,53
567,57-54,73.175,73.1275,57,54
568,57-55,73.175,72.25874999999999,57,55
569,57-56,73.175,72.2825,57,56
570,57-57,73.175,0.0,57,57
571,57-58,73.175,0.5962499999999998,57,58
572,57-59,73.175,1.11625,57,59
573,57-6,73.175,59.792500000000004,57,6
574,57-60,73.175,1.0137500000000004,57,60
575,57-61,73.175,0.2862500000000002,57,61
576,57-62,73.175,0.23750000000000016,57,62
577,57-63,73.175,-0.011250000000000093,57,63
578,57-64,73.175,0.013750000000000262,57,64
579,57-65,73.175,-0.24499999999999977,57,65
580,57-66,73.175,-0.26874999999999993,57,66
581,57-67,73.175,0.15875000000000006,57,67
582,57-68,73.175,-0.010000000000000342,57,68
583,57-69,73.175,0.3550000000000003,57,69
584,57-7,73.175,63.9375,57,7
585,57-70,73.175,0.5212500000000001,57,70
586,57-71,73.175,0.6787500000000001,57,71
587,57-72,73.175,0.4375000000000001,57,72
588,57-73,73.175,0.5375000000000002,57,73
589,57-74,73.175,0.5499999999999999,57,74
590,57-8,73.175,66.055,57,8
591,57-9,73.175,67.84375,57,9
592,58-1,73.175,55.3175,58,1
593,58-10,73.175,66.12125,58,10
594,58-11,73.175,67.22625000000001,58,11
595,58-12,73.175,70.065,58,12
596,58-13,73.175,70.4425,58,13
